LON,LAT,EEZID,Potential_Farm_Location,MHW,TS_AEP,bathymetry_class,N_components,RiskScore
-178.25,48.75,959,1,114.9805222,0.7537224,-100,3,6.882191405
-178.25,51.75,959,1,107.4953308,0.5816506,-100,3,6.164218042
-178.25,52.75,959,1,103.2790222,0.5433353,-100,3,5.954139778
-178.25,53.25,959,1,103.2790222,0.5271195,-100,3,5.938074969
-178.25,53.75,959,1,102.6376495,0.5085277,-100,3,5.881230262
-178.25,58.25,959,1,108.9346085,0.2998803,-100,3,5.845393382
-178.25,58.75,959,1,113.0550537,0.2719709,-100,3,5.982562131
-178.25,60.25,649,1,113.0550537,NA,-100,2,8.149457641
-177.75,-51.75,554,1,49.7593803,1.7718375,-100,3,4.284635452
-177.75,-51.25,554,1,56.977211,1.8338912,-100,3,4.946999863
-177.75,-50.75,554,1,53.858593,1.8495034,-100,3,4.799945078
-177.75,-50.25,554,1,67.5359116,1.8558376,-100,3,5.551283812
-177.75,-49.75,554,1,60.0310211,1.8995713,-100,3,5.258409996
-177.75,-49.25,554,1,76.8224716,1.9758658,-100,3,6.066593437
-177.75,-48.75,554,1,70.5512619,2.0980296,-100,3,5.844157627
-177.75,-48.25,554,1,93.0741425,2.3120177,-100,3,7.44693121
-177.75,-47.75,554,1,88.8364182,2.447788,-100,3,7.198544556
-177.75,-47.25,554,1,91.0900726,2.3659973,-100,3,7.329534532
-177.75,-46.75,554,1,93.4408875,2.4450543,-100,3,7.526019497
-177.75,-46.25,554,1,78.59272,2.6572385,-100,3,6.415076205
-177.75,-45.75,554,1,77.6437988,2.9182522,-100,3,6.418783468
-177.75,-45.25,554,1,80.953804,3.1718352,-100,3,6.833996979
-177.75,-44.75,554,1,80.2180252,3.3740461,-100,3,6.809281889
-177.75,-44.25,554,1,80.5527267,3.4617059,-100,3,6.857476315
-177.75,-43.75,554,1,78.9014664,3.5570066,-100,3,6.698063985
-177.75,-43.25,554,1,79.0184021,3.5887611,-100,3,6.731429356
-177.75,-42.75,554,1,79.1050873,3.7965794,-100,3,6.784566799
-177.75,-42.25,554,1,82.7120209,3.7703362,-100,3,7.094741178
-177.75,47.75,959,1,116.8637772,1.1497521,-100,3,7.55691336
-177.75,48.25,959,1,116.9991531,1.0240241,-100,3,7.39750103
-177.75,48.75,959,1,114.2354736,1.0084186,-100,3,7.270218317
-177.75,51.75,959,1,107.3281403,0.8285282,-100,3,6.521351092
-177.75,52.75,959,1,104.6109161,0.7222969,-100,3,6.200054922
-177.75,53.25,959,1,103.2790222,0.7158906,-100,3,6.145681725
-177.75,53.75,959,1,105.5243683,0.7415512,-100,3,6.286557737
-177.75,57.75,959,1,112.4087219,0.4842864,-100,3,6.271728683
-177.75,58.25,959,1,108.9346085,0.4504299,-100,3,6.078950982
-177.75,58.75,959,1,116.5833282,0.39315,-100,3,6.366881779
-177.75,60.25,649,1,116.5833282,NA,-100,2,8.366950433
-177.25,-52.25,554,1,51.5397377,1.6485525,-100,3,4.185775093
-177.25,-51.25,554,1,56.977211,1.8166412,-100,3,4.913634491
-177.25,-50.75,554,1,56.977211,1.8292632,-100,3,4.945764108
-177.25,-50.25,554,1,67.5359116,1.9109528,-100,3,5.62790059
