Unit_ID,Unit_Name,Country_Area,Status,Production_start_year,Operator,Latitude,Longitude,Cat_3,Bathymetry_class,RiskScore
OG0017968,Su Tu Den,Vietnam,operating,2003,Cuu Long Joint Operating Co,10.3926,108.4476,0.0598999,-30,6.871428571
OG0017993,Ac Quy,Vietnam,in development,2025 (expected),PetroVietnam,8.119409,103.224293,0.0154621,-50,2.457142857
OG0017994,Kim Long,Vietnam,in development,2025 (expected),PetroVietnam,8.119409,103.224293,0.0154621,-50,2.457142857
OG0017995,Ca Voi,Vietnam,in development,2025 (expected),PetroVietnam,8.119409,103.224293,0.0154621,-50,2.457142857
OG0017996,Su Tu Trang 2b,Vietnam,in development,2026 (expected),Cuu Long Joint Operating Company,10.1468,108.4259,0.0412119,-50,4.471428571
OG0018029,Yadana,Myanmar,operating,1998,PTTEP International Limited,15.1865,94.6377,0.0671064,-30,7.007142857
OG0018190,Zawtika Phase 2A,Myanmar,in development,2025 (expected),PTTEP International Limited,14.42,95.006,0.0473501,-50,4.678571429
OG0018958,Weizhou 12-2,China,operating,2016,CNOOC Limited,20.71734014,108.8147565,0.0205775,-30,3.95
OG0020846,Enping 15-1,China,operating,2024,CNOOC Limited,20.3934,114.2083,0.2293183,-100,3.385714286
OG0021115,Weizhou 11-2 1,China,operating,2012,CNOOC Limited,20.516667,108.55,0.0221094,-30,4.364285714
OG0021179,Baodao 21-1,China,discovered,NA,CNOOC Limited,17.60927,109.395539,0.03559,-50,4.285714286
OG0021305,Wenchang Field Cluster,China,operating,NA,CNOOC Limited,19.43274513,112.102484,0.1331403,-100,2.985714286
OG0010859,Liwan 3-1,China,operating,2014,CNOOC Limited,21.6412,115.8128,0.3289647,-100,5.257142857
OG0010883,Liuhua 16-2,China,operating,2020,CNOOC Limited,21.20405,116.03543,0.3173236,-100,4.778571429
OG0010884,Liuhua 20-2,China,operating,2020,CNOOC Limited,21.20405,116.03543,0.3173236,-100,4.778571429
OG0011573,Huizhou 21-1,China,operating,1990,CNOOC Limited,20.8199,115.1118,0.2994572,-100,4.214285714
OG0013942,Lufeng 22-1 Redevelopment,China,operating,1997,CNOOC Limited,20.97164,114.67649,0.2410643,-50,6.985714286
OG0013947,Lufeng 12-3,China,operating,2023,SK earthon,22.438264,116.852494,0.4472844,-30,9.742857143
OG0013962,Lufeng 7-1/7-2,China,operating,2014,Newfield Exploration,22.041566,116.131745,0.354299,-50,8.985714286
OG0013963,Lufeng 8-1,China,operating,2024,CNOOC Limited,22.045808,116.614722,0.383325,-50,9.057142857
OG0017562,Chunxiao/Shirakaba,China-Japan,operating,2005,Donghai Xihu Oil and Gas Operating Company,28.333,124.911,2.0193949,-100,8.328571429
OG0018033,Malampaya,Philippines,operating,2002,Prime Infrastructure Capital Inc,11.6348,118.9027,0.6646512,-100,8.285714286
OG0020814,Kaiping South,China,discovered,NA,CNOOC Limited,20.85613,116.60676,0.4149542,-100,7.642857143
OG0020847,Lingshui 36-1,China,discovered,NA,CNOOC Limited,16.87855852,114.8113637,0.2913115,-100,4.028571429
OG0021131,Huizhou 26-1,China,operating,1991,CNOOC Huizhou Operating Branch,20.613686,115.081011,0.3078602,-100,4.557142857
OG0021139,Xijiang 23-1,China,operating,2008,CNOOC Limited,21.394272,115.094583,0.2467391,-100,3.514285714
OG0021142,Xijiang 24-3 (24-1),China,operating,2014,CNOOC Limited,21.37289127,114.9057122,0.2205104,-50,6.778571429
OG0022405,Wilmington - Thums Long Beach Co. (Offshore) (Conventional) (Ranger),United States,operating,NA,Thums Long Beach Co.,33.74991207,-118.1635542,0.015086,-20,3.628571429
OG0022522,Wilmington - Thums Long Beach Co. (Offshore) (Unconventional) (Ranger),United States,operating,NA,Thums Long Beach Co.,33.74492264,-118.1620846,0.015086,-20,3.628571429
OG0014278,EI238 - Arena,United States,operating,NA,Arena Offshore,28.54628571,-91.53042857,0.3456937,-30,9.257142857
OG0014576,Bayou Goreau - Castex,United States,operating,NA,Castex Energy,29.19531289,-91.10466008,0.3021377,-1,9.642857143
OG0014519,SM073 - Byron,United States,operating,NA,Byron Energy,28.631,-92.1175,0.2852652,-30,8.928571429
OG0014577,Atchafalaya Bay - Castex,United States,operating,NA,Castex Energy,29.41959546,-91.47195564,0.2548395,-1,9.364285714
OG0014579,Oyster Bayou - Castex,United States,operating,NA,Castex Energy,29.28203925,-91.14035352,0.2941153,2,9.685714286
OG0014580,Eugene Island Block 18 - Castex,United States,operating,NA,Castex Energy,29.39042764,-91.50201792,0.2548395,-1,9.364285714
OG0014788,Eugene Island Block 10 - Contango,United States,operating,NA,Contango Resources,29.39897132,-91.76347171,0.2785257,-1,9.457142857
OG0014854,SS223 - Cox,United States,operating,NA,Cox Operating,29.398,-92.013,0.2878661,-1,9.557142857
OG0015388,Caillou Island - Hilcorp,United States,operating,NA,Hilcorp Energy,29.10163877,-90.5027649,0.3113673,-1,9.728571429
OG0015396,Lake Barre - Hilcorp,United States,operating,NA,Hilcorp Energy,29.2053191,-90.48558602,0.2894455,-1,9.571428571
OG0015403,Mound Point - Hilcorp,United States,operating,NA,Hilcorp Energy,29.45811672,-91.92797892,0.2927145,0,9.657142857
OG0015405,Pass Wilson - Hilcorp,United States,operating,NA,Hilcorp Energy,29.09354062,-90.86083998,0.3111199,-1,9.7
OG0015942,"Cote Blanche Bay, West - Perdido",United States,operating,NA,Perdido Energy Louisiana,29.68664431,-91.79673952,0.2769268,0,9.528571429
OG0016366,SS113 - Talos Petroleum,United States,operating,NA,Talos Petroleum,28.84685714,-90.84985714,0.3019959,-10,9.428571429
OG0016422,Atchafalaya Bay - Texas Petroleum Investment,United States,operating,NA,Texas Petroleum Investment Co.,29.41959546,-91.47195564,0.2548395,-1,9.364285714
OG0016434,Eugene Island Block 18 - Texas Petroleum Investment,United States,operating,NA,Texas Petroleum Investment Co.,29.38341894,-91.48910631,0.2548395,-1,9.364285714
OG0018904,Galveston (GA209) - Arena Offshore,United States,operating,NA,Arena Offshore,29.138,-94.533,0.2875394,-10,9.3
OG0021853,"[Field not stated] - Denbury Onshore, (Offshore)",United States,operating,NA,"Denbury Onshore, Llc",29.68921508,-94.51181516,0.2353161,5,9.442857143
OG0014197,King/Horn Mt. (MC084) - Anadarko,United States,operating,NA,Anadarko,28.887,-88.0034,0.4347088,-100,8.014285714
OG0014203,Marlin (VK915) - Anadarko,United States,operating,NA,Anadarko,29.1095,-87.946,0.4501919,-100,8.057142857
OG0014273,ST037 - Arena,United States,operating,NA,Arena Offshore,28.931,-90.334,0.3433523,-20,9.471428571
OG0014324,La Femme/BWO (MC427) - Beacon Growthco,United States,operating,NA,Beacon Growthco,28.561,-88.434,0.3535445,-100,5.835714286
OG0014325,Stonefly (VK999) - Beacon Growthco,United States,operating,NA,Beacon Growthco,28.999,-88.143,0.4516183,-100,8.114285714
OG0014395,Ariel (MC429) - BP,United States,operating,NA,BP,28.562,-88.311,0.3836905,-100,6.442857143
OG0014396,Kepler (MC383) - BP,United States,operating,NA,BP,28.604,-88.435,0.3535445,-100,5.835714286
OG0014562,Bay Marchand Block 2 Offshore - Cantium,United States,operating,NA,Cantium,29.08979909,-90.14878324,0.3433635,2,9.9
OG0014559,MP299 - Cantium,United States,operating,NA,Cantium,29.27025,-88.7625,0.3286371,-50,8.742857143
OG0014560,MP041 - Cantium,United States,operating,NA,Cantium,29.39247059,-88.99447059,0.3173999,-10,9.542857143
OG0014561,BM002 - Cantium,United States,operating,NA,Cantium,29.033,-90.14077778,0.3433635,-10,9.714285714
OG0014674,Petronius (VK786) - Chevron,United States,operating,NA,Chevron,29.198,-87.7975,0.4251387,-100,7.878571429
OG0014852,MO904 - Cox,United States,operating,NA,Cox Operating,30.085,-88.506,0.3513738,-10,9.771428571
OG0014850,WD073 - Cox,United States,operating,NA,Cox Operating,28.93975,-89.702,0.3340662,-50,8.785714286
OG0014851,WD030 - Cox,United States,operating,NA,Cox Operating,29.137875,-89.607625,0.3514773,-10,9.8
OG0015030,Appaloosa (MC503) - ENI,United States,operating,NA,ENI Petroleum,28.51,-88.976,0.3843282,-100,6.514285714
OG0015045,Cognac (MC194) - Talos,United States,operating,NA,Talos,28.79175,-89.05575,0.3509139,-100,5.714285714
OG0015238,MP311 - GOM Shelf,United States,operating,NA,GOM Shelf,29.1915,-88.7325,0.3380305,-50,8.842857143
OG0015283,"Black Bay, West - Helis",United States,operating,NA,Helis Oil & Gas Company,29.58015657,-89.53693732,0.2844301,-5,9.414285714
OG0015284,"Black Bay, Southeast - Helis",United States,operating,NA,Helis Oil & Gas Company,29.52654012,-89.48479184,0.3021083,-1,9.628571429
OG0015285,"Black Bay, North - Helis",United States,operating,NA,Helis Oil & Gas Company,29.63780255,-89.5699112,0.2871891,-1,9.514285714
OG0015387,Lake Washington - Hilcorp,United States,operating,NA,Hilcorp Energy,29.37284212,-89.79130696,0.3136677,2,9.814285714
OG0015389,Lake Raccourci - Hilcorp,United States,operating,NA,Hilcorp Energy,29.21224807,-90.37290148,0.3059511,0,9.757142857
OG0015404,West Delta Block 27 - Hilcorp,United States,operating,NA,Hilcorp Energy,29.15997451,-89.46575478,0.3669482,-1,9.914285714
OG0015523,Odd Job (MC214) - Kosmos,United States,operating,NA,Kosmos Energy,28.782,-88.0665,0.4115846,-100,7.528571429
OG0015613,"Black Bay, East - Llox",United States,operating,NA,LLOX,29.57284633,-89.454921,0.2976865,-5,9.5
OG0015746,Son Of Bluto 2 (MC431) - Murphy,United States,operating,NA,Murphy E&P. Company,28.563,-88.237,0.3836905,-100,6.442857143
OG0015611,Manila Village - Llox,United States,operating,NA,LLOX,29.48269593,-90.00058965,0.2624116,2,9.485714286
OG0015741,Marmalard (MC300) - Murphy,United States,operating,NA,Murphy E&P. Company,28.70833333,-88.18933333,0.4215493,-100,7.85
OG0015742,Rigel (MC252) - Murphy,United States,operating,NA,Murphy E&P. Company,28.76466667,-88.37166667,0.4098152,-100,7.414285714
OG0016205,Appomattox (MC392) - Shell,United States,operating,2019,Shell,28.608,-88.0155,0.4091409,-100,7.392857143
OG0016208,Vicksburg A (MC393) - Shell,United States,operating,NA,Shell,28.609,-87.9165,0.4306782,-100,7.957142857
OG0016287,Breton Sound Block 53 - Southern,United States,operating,NA,Southern Oil Of Louisiana,29.46477159,-89.1631618,0.3356123,-1,9.857142857
OG0016359,Main Pass Block 74 - Talos Offshore,United States,operating,NA,Talos Energy Offshore,29.24234909,-88.92667329,0.3355531,-50,8.8
OG0016286,Breton Sound Block 31 - Southern,United States,operating,NA,Southern Oil Of Louisiana,29.53346545,-89.27189668,0.3310089,-1,9.828571429
OG0016362,Pompano (VK990) - Talos Petroleum,United States,operating,NA,Talos Petroleum,28.9598,-88.6084,0.3891796,-100,6.707142857
OG0016363,Pompano I (MC029) - Talos Petroleum,United States,operating,NA,Talos Petroleum,28.952,-88.539,0.3891796,-100,6.707142857
OG0016364,Amberjack (MC109) - Talos Petroleum,United States,operating,NA,Talos Petroleum,28.859,-88.958,0.3584827,-100,5.9
OG0016365,Ram-Powell (VK956) - Talos Petroleum,United States,operating,NA,Talos Petroleum,29.06525,-88.06925,0.4519503,-100,8.128571429
OG0016424,Main Pass Block 69 - Texas Petroleum Investment,United States,operating,NA,Texas Petroleum Investment Co.,29.25242504,-89.04515074,0.3217542,2,9.871428571
OG0016426,Breton Sound Block 20 - Texas Petroleum Investment,United States,operating,NA,Texas Petroleum Investment Co.,29.57187095,-89.12764515,0.3342931,-1,9.842857143
OG0016596,MO823 - W & T,United States,operating,NA,W & T Offshore,30.1725,-88.1805,0.3340041,-10,9.614285714
OG0016613,ST127 - Walter,United States,operating,NA,Walter Oil & Gas Corporation,28.687,-90.313,0.3578471,-20,9.585714286
OG0016617,WD112 - Walter,United States,operating,NA,Walter Oil & Gas Corporation,28.852,-89.54,0.3455728,-50,8.914285714
